title,year,gross_2013,budget_2013,roi,binary,clean_test,imdb,test,budget,domgross,intgross,code,domgross_2013,intgross_2013,period_code,decade_code
The Next Three Days,2010,94436573,32046955,2.9468189099401174,PASS,ok,tt1458175,ok,30000000,21148651,67255916,2010PASS,22591662,71844911,1,1
The Other Guys,2010,309954357,106823184,2.9015644862261363,FAIL,nowomen,tt1386588,nowomen-disagree,100000000,119219978,170936470,2010FAIL,127354577,182599780,1,1
The Runaways,2010,9456314,10148202,0.9318216172677682,PASS,ok,tt1017451,ok,9500000,3573673,5278632,2010PASS,3817511,5638803,1,1
The Social Network,2010,343847623,42729274,8.047120646140629,FAIL,notalk,tt1285016,notalk-disagree,40000000,96962694,224922135,2010FAIL,103578637,240268986,1,1
The Sorcerer's Apprentice,2010,297291038,170917095,1.7393873795947679,FAIL,notalk,tt0963966,notalk,160000000,63150991,215150991,2010FAIL,67459899,229831139,1,1
The Spy Next Door,2010,80427678,29910492,2.688945337308393,PASS,ok,tt1273678,ok,28000000,24307106,50983364,2010PASS,25965625,54462053,1,1
The Switch,2010,82912876,20296405,4.085101573406719,FAIL,men,tt0889573,men,19000000,27758465,49858465,2010FAIL,29652476,53260400,1,1
The Tempest,2010,593816,21364637,0.027794340713581982,PASS,ok,tt1274300,ok,20000000,277943,277943,2010PASS,296908,296908,1,1
The Tourist,2010,369995479,106823184,3.4636252650922668,FAIL,nowomen,tt1243957,nowomen,100000000,67631157,278731369,2010FAIL,72245755,297749724,1,1
The Town,2010,261453100,39524578,6.614949816795008,FAIL,notalk,tt0840361,notalk,37000000,92186262,152566881,2010FAIL,98476300,162976800,1,1
The Twilight Saga: Eclipse,2010,1068362627,72639765,14.707682864888122,PASS,ok,tt1325004,ok-disagree,68000000,300531751,699590681,2010PASS,321037586,747325041,1,1
The Wolfman,2010,218799777,160234776,1.3654949472391686,FAIL,notalk,tt0780653,notalk-disagree,150000000,62189884,142634358,2010FAIL,66433214,152366563,1,1
Tiny Furniture,2010,871488,53412,16.31633340822287,PASS,ok,tt1570989,ok,50000,391674,424149,2010PASS,418399,453089,1,1
Toy Story 3,2010,1579663150,213646368,7.393821691366174,FAIL,dubious,tt0435761,dubious-disagree,200000000,415004880,1063759456,2010FAIL,443321427,1136341723,1,1
Tron Legacy,2010,608492124,213646368,2.848127631170402,FAIL,notalk,tt1104001,notalk-disagree,200000000,172062763,397562763,2010FAIL,183802922,424689202,1,1
True Grit,2010,452417478,37388114,12.100569662326375,PASS,ok,tt1403865,ok-disagree,35000000,171243005,252276928,2010PASS,182927231,269490247,1,1
Tucker and Dale vs Evil,2010,6089596,5341159,1.140126328386779,PASS,ok,tt1465522,ok,5000000,223838,5476793,2010PASS,239111,5850485,1,1
Unstoppable,2010,268205830,101482025,2.642890009339092,FAIL,dubious,tt0477080,dubious,95000000,81562942,169511609,2010FAIL,87128132,181077698,1,1
Valentine's Day,2010,350438778,55548056,6.308749634730692,PASS,ok,tt0817230,ok,52000000,110485654,217569328,2010PASS,118024294,232414484,1,1
Wall Street: Money Never Sleeps,2010,202863887,74776229,2.7129462091488996,FAIL,dubious,tt1027718,dubious-disagree,70000000,52474616,137431619,2010FAIL,56055056,146808831,1,1
Welcome to the Rileys,2010,497491,10682318,0.04657144638457683,PASS,ok,tt1183923,ok,10000000,152857,312857,2010PASS,163287,334204,1,1
Wild Target,2010,233596,8545855,0.02733442119015593,FAIL,notalk,tt1235189,notalk,8000000,109338,109338,2010FAIL,116798,116798,1,1
Winter's Bone,2010,24209397,2136464,11.33152582959507,PASS,ok,tt1399683,ok-disagree,2000000,6531503,16131552,2010PASS,6977159,17232238,1,1
Womb,2010,NA,13887014,NA,PASS,ok,tt1216520,ok,13000000,NA,NA,2010PASS,NA,NA,1,1
Yogi Bear,2010,323172529,85458547,3.78162910960796,FAIL,nowomen,tt1302067,nowomen,80000000,100246011,202284317,2010FAIL,107085981,216086548,1,1
You Again,2010,62535358,21364637,2.9270498721789657,PASS,ok,tt1414382,ok,20000000,25702053,32838945,2010PASS,27455751,35079607,1,1
You Will Meet a Tall Dark Stranger,2010,40054028,16023478,2.499708739887807,PASS,ok,tt1182350,ok,15000000,3247816,34247816,2010PASS,3469420,36584608,1,1
(500) Days of Summer,2009,101184304,8142987,12.425944435377337,FAIL,notalk,tt1022603,notalk-disagree,7500000,32391374,60803210,2009FAIL,35168338,66015966,2,2
17 Again,2009,221100526,43429264,5.091049344055198,PASS,ok,tt0974661,ok-disagree,40000000,64167069,139474906,2009PASS,69668214,151432312,2,2
2012,2009,1036353290,217146319,4.772603536512171,FAIL,notalk,tt1190080,notalk-disagree,200000000,166112167,788408539,2009FAIL,180353228,856000062,2,2
9,2009,87194988,32571948,2.6769964142150786,FAIL,nowomen,tt0472033,nowomen,30000000,31749894,48559999,2009FAIL,34471863,52723125,2,2
A Perfect Getaway,2009,41617091,15200242,2.7379229225429436,FAIL,dubious,tt0971209,dubious-disagree,14000000,15515460,22815460,2009FAIL,16845625,24771466,2,2
A Serious Man,2009,42983417,7600121,5.655622719690911,FAIL,men,tt1019452,men,7000000,9228788,30360570,2009FAIL,10019987,32963430,2,2
A Single Man,2009,40517743,7600121,5.331197095414665,FAIL,notalk,tt1315981,notalk,7000000,9176000,28142379,2009FAIL,9962673,30555070,2,2
Adam,2009,5543731,3474341,1.5956208673817567,FAIL,men,tt1185836,men,3200000,2277396,2828590,2009FAIL,2472641,3071090,2,2
Adventureland,2009,36033315,10640170,3.3865356474567605,FAIL,men,tt1091722,men-disagree,9800000,16044025,17144025,2009FAIL,17419505,18613810,2,2
Agora,2009,43007690,76001212,0.5658816335718435,FAIL,notalk,tt1186830,notalk,70000000,619423,38992292,2009FAIL,672527,42335163,2,2
Ajami,2009,1350344,1085732,1.243717602502275,FAIL,men,tt1077262,men-disagree,1000000,621859,621859,2009FAIL,675172,675172,2,2
All About Steve,2009,80333457,16285974,4.932677468354058,PASS,ok,tt0881891,ok,15000000,33862903,40127259,2009PASS,36766024,43567433,2,2
An Education,2009,45847893,8142987,5.630353210683008,PASS,ok,tt1174732,ok,7500000,12574914,29652736,2009PASS,13652981,32194912,2,2
Angels & Demons,2009,677769786,162859739,4.161677957742521,FAIL,nowomen,tt0808151,nowomen,150000000,133375846,490875846,2009FAIL,144810370,532959416,2,2
Armored,2009,43049165,21714632,1.9824957199366768,FAIL,nowomen,tt0913354,nowomen,20000000,15988876,23661038,2009FAIL,17359628,25689537,2,2
Astro Boy,2009,69100389,70572554,0.9791396950151471,FAIL,dubious,tt0375568,dubious,65000000,19551067,44093014,2009FAIL,21227211,47873178,2,2
Avatar,2009,3848295959,461435929,8.339827302437907,FAIL,men,tt0499549,men-disagree,425000000,760507625,2783918982,2009FAIL,825707158,3022588801,2,2
Away We Go,2009,21236868,22800364,0.9314267088016664,PASS,ok,tt1176740,ok,21000000,9451946,10108016,2009PASS,10262276,10974592,2,2
Br&uuml;no,2009,207204029,45600727,4.543875561457606,FAIL,nowomen,tt0889583,nowomen-disagree,42000000,60054530,130788243,2009FAIL,65203101,142000928,2,2
Bride Wars,2009,188771738,32571948,5.795531111617887,PASS,ok,tt0901476,ok,30000000,58715510,115150424,2009PASS,63749284,125022454,2,2
Bright Star,2009,23566149,9228719,2.5535666434312283,PASS,ok,tt0810784,ok,8500000,4444637,17260680,2009PASS,4825683,18740466,2,2
Brooklyn's Finest,2009,72089132,18457437,3.9056956824503857,FAIL,notalk,tt1210042,notalk,17000000,27163593,39233233,2009FAIL,29492371,42596761,2,2
Brothers,2009,79896846,28229022,2.8303086801944466,PASS,ok,tt0765010,ok,26000000,28544157,45043870,2009PASS,30991293,48905553,2,2
Capitalism: A Love Story,2009,36355644,21714632,1.674246379123533,FAIL,notalk,tt1232207,notalk-disagree,20000000,14363397,19121531,2009FAIL,15594794,20760850,2,2
Case 39,2009,46213791,29314753,1.576468715257468,PASS,ok,tt0795351,ok,27000000,13261851,29302804,2009PASS,14398811,31814980,2,2
Chloe,2009,13843542,14114511,0.980802097926028,FAIL,men,tt1352824,men-disagree,13000000,3075255,9675172,2009FAIL,3338902,10504640,2,2
Cloudy with a Chance of Meatballs,2009,392706895,108573160,3.6169795094846644,FAIL,notalk,tt0844471,notalk-disagree,100000000,124870275,236827677,2009FAIL,135575603,257131292,2,2
Coco avant Chanel,2009,61808168,24971827,2.475115977697587,PASS,ok,tt1035736,ok,23000000,6113834,50813834,2009PASS,6637983,55170185,2,2
Coraline,2009,218583053,65143896,3.3553880934600535,PASS,ok,tt0327597,ok,60000000,75286229,126037057,2009PASS,81740638,136842415,2,2
Daybreakers,2009,88490549,21714632,4.075157663275159,FAIL,notalk,tt0433362,notalk,20000000,30101577,51401577,2009FAIL,32682233,55808316,2,2
Dead Snow,2009,2432866,868585,2.800953274578769,FAIL,men,tt1278340,men-disagree,800000,46742,2194020,2009FAIL,50749,2382117,2,2
District 9,2009,359206548,32571948,11.028095341426923,FAIL,notalk,tt1136608,notalk-disagree,30000000,115646235,215196627,2009FAIL,125560771,233645777,2,2
Drag Me to Hell,2009,144933347,32571948,4.449637061928258,PASS,ok,tt1127180,ok,30000000,42100625,91388487,2009PASS,45709979,99223368,2,2
Enter the Void,2009,733948,17371706,0.042249621309501786,FAIL,notalk,tt1191111,notalk,16000000,337997,337997,2009FAIL,366974,366974,2,2
Everybody's Fine,2009,19996736,21714632,0.9208876300551628,FAIL,men,tt0780511,men,20000000,9208876,9208876,2009FAIL,9998368,9998368,2,2
Fantastic Mr. Fox,2009,73288882,43429264,1.6875460288712238,FAIL,notalk,tt0432283,notalk,40000000,21002919,46498922,2009FAIL,22803533,50485349,2,2
Fast & Furious,2009,562548516,92287186,6.095629744307081,FAIL,notalk,tt1013752,notalk,85000000,155064265,363064265,2009FAIL,168358172,394190344,2,2
Fired Up!,2009,38912469,21714632,1.7919930211112949,FAIL,notalk,tt1083456,notalk,20000000,17231291,18608570,2009FAIL,18708557,20203912,2,2
Fish Tank,2009,6836816,3257195,2.0989888539065054,PASS,ok,tt1232776,ok,3000000,374675,5922292,2009PASS,406796,6430020,2,2
Friday the 13th,2009,170137171,18457437,9.21781128116542,FAIL,men,tt0758746,men,17000000,65002019,91700771,2009FAIL,70574746,99562425,2,2
Funny People,2009,134343379,78715541,1.7066944759993457,FAIL,notalk,tt1201167,notalk,72500000,51855045,71880305,2009FAIL,56300661,78042718,2,2
G-Force,2009,441704337,162859739,2.7121763777356906,FAIL,notalk,tt0436339,notalk,150000000,119436770,287389685,2009FAIL,129676275,312028062,2,2
G.I. Joe: The Rise of Cobra,2009,491478681,190003029,2.5866886627370556,FAIL,notalk,tt1046173,notalk-disagree,175000000,150201498,302469017,2009FAIL,163078512,328400169,2,2
Gamer,2009,60364060,54286580,1.1119517936108703,FAIL,notalk,tt1034032,notalk,50000000,20534907,35062683,2009FAIL,22295397,38068663,2,2
Get Low,2009,20491953,7600121,2.696266677859471,FAIL,notalk,tt1194263,notalk-disagree,7000000,9176933,9696933,2009FAIL,9963686,10528267,2,2
Harry Brown,2009,8808346,7925841,1.1113452818445386,FAIL,notalk,tt1289406,notalk,7300000,1818681,6294140,2009FAIL,1974599,6833747,2,2
Harry Potter and the Half-Blood Prince,2009,1342372145,271432899,4.9455027373082,PASS,ok,tt0417741,ok-disagree,250000000,301959197,934416487,2009PASS,327846641,1014525504,2,2
He's Just Not That Into You,2009,295692373,43429264,6.8085973780260245,PASS,ok,tt1001508,ok,40000000,93953653,178390243,2009PASS,102008450,193683923,2,2
I Come with the Rain,2009,NA,19543169,NA,FAIL,nowomen,tt1024744,nowomen,18000000,0,627422,2009FAIL,NA,681212,2,2
I Love You Phillip Morris,2009,18655197,14114511,1.3217033873862154,FAIL,notalk,tt1045772,notalk-disagree,13000000,2037459,15144685,2009FAIL,2212134,16443063,2,2
"I Love You, Man",2009,177158297,43429264,4.079237838338683,FAIL,men,tt1155056,men-disagree,40000000,71440011,91729503,2009FAIL,77564677,99593620,2,2
Ice Age: Dawn of the Dinosaurs,2009,1176436220,97715844,12.039359962955444,FAIL,notalk,tt1080016,notalk,90000000,196573705,886968695,2009FAIL,213426283,963009937,2,2
Inglourious Basterds,2009,475336301,76001212,6.254325273128539,FAIL,dubious,tt0361748,dubious-disagree,70000000,120831050,316971720,2009FAIL,131190089,344146212,2,2
Invictus,2009,175869765,53200848,3.305769956899935,FAIL,notalk,tt1057500,notalk,49000000,37491364,124491364,2009FAIL,40705558,135164207,2,2
It's Complicated,2009,366271684,92287186,3.968824924404998,PASS,ok,tt1230414,ok,85000000,112735375,224614744,2009PASS,122400359,243871325,2,2
Jennifer's Body,2009,53240976,17371706,3.0648098695660635,PASS,ok,tt1131734,ok,16000000,16204793,32832166,2009PASS,17594056,35646920,2,2
Julie & Julia,2009,239698642,43429264,5.519288606871164,PASS,ok,tt1135503,ok,40000000,94125426,126646119,2009PASS,102194949,137503693,2,2
Knowing,2009,290776593,54286580,5.356325504388009,FAIL,notalk,tt0448011,notalk,50000000,79957634,187858642,2009FAIL,86812530,203964063,2,2
Law Abiding Citizen,2009,222051120,57543775,3.85882087158863,FAIL,notalk,tt1197624,notalk-disagree,53000000,73357727,131159781,2009FAIL,79646802,142404318,2,2
Life During Wartime,2009,611152,4885792,0.12508760094576274,PASS,ok,tt0808526,ok,4500000,281447,281447,2009PASS,305576,305576,2,2
Micmacs (Micmacs &agrave; tire-larigot),2009,14132550,45600727,0.30991940106568916,FAIL,dubious,tt1149361,dubious,42000000,1259693,11756922,2009FAIL,1367688,12764862,2,2
Monsters vs Aliens,2009,629766567,190003029,3.3145080387113195,FAIL,dubious,tt0892782,dubious-disagree,175000000,198351526,381687380,2009FAIL,215356519,414410048,2,2
Moon,2009,17031042,5428658,3.1372471796897132,FAIL,notalk,tt1182345,notalk-disagree,5000000,5010163,10676073,2009FAIL,5439692,11591350,2,2
Mother and Child,2009,6645783,7600121,0.8744312097136349,PASS,ok,tt1121977,ok,7000000,1110509,5010509,2009PASS,1205715,5440068,2,2
My Bloody Valentine 3D,2009,167529417,15200242,11.021496697223636,FAIL,men,tt1179891,men,14000000,51545952,102754998,2009FAIL,55965069,111564348,2,2
My Sister's Keeper,2009,158379177,29857619,5.304481144327014,PASS,ok,tt1078588,ok,27500000,49200230,96673002,2009PASS,53418244,104960933,2,2
Nine,2009,79460161,86858528,0.9148227909181238,FAIL,men,tt0875034,men-disagree,80000000,19676965,53508858,2009FAIL,21363903,58096258,2,2
Ninja Assassin,2009,108297130,54286580,1.9949153179294035,FAIL,notalk,tt1186367,notalk-disagree,50000000,38122883,61622883,2009FAIL,41391219,66905911,2,2
Nowhere Boy,2009,10021949,2062890,4.858208144884119,FAIL,dubious,tt1266029,dubious,1900000,1445366,7785229,2009FAIL,1569280,8452669,2,2
Ondine,2009,1195330,13028779,0.09174535848677762,PASS,ok,tt1235796,ok,12000000,550472,550472,2009PASS,597665,597665,2,2
Paa,2009,10847012,4668646,2.32337427168391,FAIL,men,tt1532957,men,4300000,199228,9791282,2009FAIL,216308,10630704,2,2
Pandorum,2009,29710268,43429264,0.6841071034498766,FAIL,notalk,tt1188729,notalk,40000000,10330853,17033431,2009FAIL,11216534,18493734,2,2
Perrier's Bounty,2009,1798,7165829,2.5091304858098067e-4,FAIL,nowomen,tt1003034,nowomen,6600000,828,828,2009FAIL,899,899,2,2
Planet 51,2009,164151948,65143896,2.5198362099804408,FAIL,notalk,tt0762125,notalk,60000000,42194060,108996113,2009FAIL,45811424,118340524,2,2
Precious: Based on the Novel Push by Sapphire,2009,126259045,10857316,11.628937114844957,PASS,ok,tt0929632,ok,10000000,47566524,68722848,2009PASS,51644478,74614567,2,2
Public Enemies,2009,333845749,111287489,2.99984977646499,FAIL,notalk,tt1152836,notalk,102500000,97104620,210379983,2009FAIL,105429554,228416195,2,2
Push,2009,82757778,41257801,2.005869823260818,PASS,ok,tt0465580,ok,38000000,31811527,44411527,2009PASS,34538780,48218998,2,2
Sherlock Holmes,2009,768119157,97715844,7.8607432076214785,FAIL,notalk,tt0988045,notalk,90000000,209028679,498438212,2009FAIL,226949041,541170116,2,2
Splice,2009,42855097,32571948,1.3157056802374854,PASS,ok,tt1017460,ok,30000000,17010170,22461001,2009PASS,18468479,24386618,2,2
Star Trek,2009,698571071,152002424,4.595789018469864,PASS,ok,tt0796366,ok-disagree,140000000,257730019,385680446,2009PASS,279825625,418745446,2,2
State of Play,2009,139476711,65143896,2.1410557176377663,PASS,ok,tt0473705,ok,60000000,37017955,91445389,2009PASS,40191563,99285148,2,2
Surrogates,2009,171812815,86858528,1.978076522319144,FAIL,notalk,tt0986263,notalk,80000000,38577772,119668350,2009FAIL,41885106,129927709,2,2
Terminator Salvation,2009,539555411,217146319,2.484755042059912,FAIL,men,tt0438488,men-disagree,200000000,125322469,371628539,2009FAIL,136066564,403488847,2,2
The Blind Side,2009,609817730,38000606,16.047579083344093,FAIL,men,tt0878804,men,35000000,255959475,305705795,2009FAIL,277903289,331914441,2,2
The Boat That Rocked,2009,49390058,54286580,0.9098023489414879,FAIL,nowomen,tt1131729,nowomen-disagree,50000000,8017467,37472651,2009FAIL,8704817,40685241,2,2
The Boondock Saints II: All Saints Day,2009,22307848,8685853,2.5682967464450526,FAIL,nowomen,tt1300851,nowomen,8000000,10273187,10273187,2009FAIL,11153924,11153924,2,2
The Box,2009,44942636,27143290,1.6557549213820433,PASS,ok,tt0362478,ok,25000000,15051977,26341896,2009PASS,16342407,28600229,2,2
The City of Your Final Destination,2009,2004903,9011572,0.22248093895271545,PASS,ok,tt0896923,ok-disagree,8300000,493296,1353296,2009PASS,535587,1469316,2,2
The Final Destination,2009,275626349,43429264,6.346558141072803,PASS,ok,tt1144884,ok,40000000,66477700,187384627,2009PASS,72176939,203449410,2,2
The Fourth Kind,2009,82195359,10857316,7.570504441429171,PASS,ok,tt1220198,ok,10000000,26218170,49486874,2009PASS,28465896,53729463,2,2
The Girl with the Dragon Tattoo,2009,364464931,97715844,3.7298447834109685,FAIL,dubious,tt1132620,dubious-disagree,90000000,102515793,233170238,2009FAIL,111304636,253160295,2,2
The Girlfriend Experience,2009,1847567,1411451,1.3089841588549656,FAIL,dubious,tt1103982,dubious,1300000,695840,1005840,2009FAIL,755495,1092072,2,2
The Good Guy,2009,218640,10857316,0.020137573595536872,PASS,ok,tt1247662,ok,10000000,100688,100688,2009PASS,109320,109320,2,2
The Hangover,2009,810906844,38000606,21.33931348357971,FAIL,notalk,tt1119646,notalk,35000000,277322503,469553471,2009FAIL,301097804,509809040,2,2
The Imaginarium of Doctor Parnassus,2009,78218508,32571948,2.401407124928481,FAIL,notalk,tt1054606,notalk,30000000,7689607,64352607,2009FAIL,8348849,69869659,2,2
The Informant!,2009,81525402,23886095,3.4130904193422995,FAIL,notalk,tt1130080,notalk,22000000,33316821,41771168,2009FAIL,36173125,45352277,2,2
The Invention of Lying,2009,55514015,20086035,2.7638115237775898,FAIL,men,tt1058017,men,18500000,18451251,32679264,2009FAIL,20033106,35480909,2,2
The Last Station,2009,24227029,19543169,1.2396673743137563,PASS,ok,tt0824758,ok,18000000,6617867,15696146,2009PASS,7185227,17041802,2,2
The Lovely Bones,2009,150926117,103144502,1.4632492675179138,PASS,ok,tt0380510,ok,95000000,44114232,94894448,2009PASS,47896216,103029901,2,2
The Men Who Stare at Goats,2009,108330404,26057558,4.1573505851929795,FAIL,nowomen,tt1234548,nowomen,24000000,32428195,67348218,2009FAIL,35208316,73122088,2,2
The Messenger,2009,2735305,7057255,0.38758766687614377,FAIL,notalk,tt0790712,notalk,6500000,1109660,1409660,2009FAIL,1204793,1530512,2,2
The Princess and the Frog,2009,407581771,114001818,3.5752216776051764,PASS,ok,tt0780521,ok,105000000,104400899,270997378,2009PASS,113351355,294230416,2,2
The Proposal,2009,519704698,43429264,11.966693656148536,FAIL,men,tt1041829,men-disagree,40000000,163958031,314709717,2009FAIL,178014415,341690283,2,2
The Road,2009,38791604,27143290,1.4291415668476444,FAIL,notalk,tt0898367,notalk-disagree,25000000,8114270,27614270,2009FAIL,8809919,29981685,2,2
The Secret of Kells,2009,3573367,8685853,0.41140081463501627,FAIL,nowomen,tt0485601,nowomen-disagree,8000000,690290,2600916,2009FAIL,749470,2823897,2,2
The Soloist,2009,76190466,65143896,1.1695718352491538,FAIL,notalk,tt0821642,notalk,60000000,31720158,38454152,2009FAIL,34439578,41750888,2,2
The Taking of Pelham 123,2009,236490454,119430476,1.98015164906485,FAIL,nowomen,tt1111422,nowomen,110000000,65452312,152364370,2009FAIL,71063643,165426811,2,2
The Time Traveler's Wife,2009,175976985,42343532,4.155935433066849,FAIL,dubious,tt0452694,dubious,39000000,63414846,98666635,2009FAIL,68851502,107125483,2,2
The Ugly Truth,2009,319362798,41257801,7.740664559412655,FAIL,men,tt1142988,men,38000000,88915214,205230042,2009FAIL,96538057,222824741,2,2
The Unborn,2009,131242390,17371706,7.554951137211279,PASS,ok,tt1139668,ok,16000000,42670410,78208812,2009PASS,46328612,84913778,2,2
The Young Victoria,2009,46556348,38000606,1.225147514752791,PASS,ok,tt0962736,ok,35000000,11001272,31878891,2009PASS,11944429,34611919,2,2
Transformers: Revenge of the Fallen,2009,1344821431,228003635,5.898245574023414,PASS,ok,tt1055369,ok-disagree,210000000,402111870,836519699,2009PASS,436585563,908235868,2,2
Up,2009,1112382817,190003029,5.854553071361826,FAIL,notalk,tt1049413,notalk,175000000,293004164,731542621,2009FAIL,318123879,794258938,2,2
Up in the Air,2009,272156126,32571948,8.35553728625626,FAIL,men,tt1193138,men-disagree,30000000,83823381,166842739,2009FAIL,91009693,181146433,2,2
Veronika Decides to Die,2009,NA,9771584,NA,PASS,ok,tt1068678,ok,9000000,NA,NA,2009PASS,NA,NA,2,2
Watchmen,2009,316575617,149830960,2.1128851940880575,FAIL,men,tt0409459,men-disagree,138000000,107509799,184068357,2009FAIL,116726786,199848831,2,2
Whatever Works,2009,43878118,16285974,2.694227437671213,FAIL,dubious,tt1178663,dubious-disagree,15000000,5306706,35106706,2009FAIL,5761658,38116460,2,2
Where the Wild Things Are,2009,191476500,108573160,1.7635712177853164,FAIL,notalk,tt0386117,notalk,100000000,77233467,99123656,2009FAIL,83854815,107621685,2,2
Whip It,2009,34634310,16285974,2.1266342436749563,PASS,ok,tt1172233,ok,15000000,13043363,18856151,2009PASS,14161591,20472719,2,2
Whiteout,2009,24461950,38000606,0.6437252605918968,PASS,ok,tt0365929,ok,35000000,10275638,12254746,2009PASS,11156585,13305365,2,2
X-Men Origins: Wolverine,2009,602264998,162859739,3.698059457162706,FAIL,dubious,tt0458525,dubious-disagree,150000000,179883157,374825760,2009FAIL,195304827,406960171,2,2
Yesterday Was a Lie,2009,NA,217146,NA,PASS,ok,tt0448182,ok,200000,NA,NA,2009PASS,NA,NA,2,2
Youth in Revolt,2009,37969311,19543169,1.9428430977596316,FAIL,notalk,tt0403702,notalk-disagree,18000000,15285588,19685588,2009FAIL,16596046,21373265,2,2
Zombieland,2009,193072265,25623266,7.535037297743386,PASS,ok,tt1156398,ok-disagree,23600000,75590286,102236596,2009PASS,82070762,111001503,2,2
21,2008,258672134,37878971,6.828911323911096,PASS,ok,tt0478087,ok,35000000,81159365,157852532,2008PASS,87835235,170836899,2,2
Appaloosa,2008,51890801,21645126,2.397343448127768,FAIL,notalk,tt0800308,notalk,20000000,20211394,27735474,2008FAIL,21873909,30016892,2,2
Australia,2008,286402695,140693320,2.035652403397688,FAIL,men,tt0455824,men,130000000,49554002,215080810,2008FAIL,53630131,232772564,2,2
Baby Mama,2008,135158333,32467689,4.162856586435826,PASS,ok,tt0871426,ok,30000000,60494212,64391484,2008PASS,65470243,69688090,2,2
Be Kind Rewind,2008,45529886,21645126,2.1034705919475822,FAIL,notalk,tt0799934,notalk,20000000,11175164,30894247,2008FAIL,12094392,33435494,2,2
Bedtime Stories,2008,355477838,86580505,4.105749186840617,PASS,ok,tt0960731,ok,80000000,110101975,218357961,2008PASS,119158557,236319281,2,2
Blindness,2008,25028638,27056408,0.9250539835147371,PASS,ok,tt0861689,ok,25000000,3073392,20052958,2008PASS,3326198,21702440,2,2
Bolt,2008,463213837,162338447,2.8533834440340557,PASS,ok,tt0397892,ok-disagree,150000000,114053759,313953759,2008PASS,123435400,339778437,2,2
Burn After Reading,2008,242177666,40043484,6.047867013769332,FAIL,notalk,tt0887883,notalk,37000000,60355347,163415735,2008FAIL,65319955,176857711,2,2
Changeling,2008,161846433,59524097,2.7190069426840697,PASS,ok,tt0824747,ok,55000000,35739802,113805580,2008PASS,38679626,123166807,2,2
Che: Part One,2008,32913865,62770866,0.524349385270549,FAIL,notalk,tt0892255,notalk,58000000,293708,30118557,2008FAIL,317867,32595998,2,2
City of Ember,2008,21308276,41125740,0.5181250477195061,PASS,ok,tt0970411,ok,38000000,7871693,11817059,2008PASS,8519189,12789087,2,2
Cloverfield,2008,271443374,27056408,10.032498548957422,PASS,ok,tt1060277,ok,25000000,80048433,170764033,2008PASS,86632922,184810452,2,2
Day of the Dead,2008,NA,19480614,NA,PASS,ok,tt0489018,ok,18000000,NA,NA,2008PASS,NA,NA,2,2
Death Race,2008,117785040,70346660,1.6743515612539388,FAIL,notalk,tt0452608,notalk,65000000,36316032,72516819,2008FAIL,39303255,78481785,2,2
Defiance,2008,76746646,54112816,1.418271154101461,PASS,ok,tt1034303,ok,50000000,28644813,42268745,2008PASS,31001030,45745616,2,2
"Definitely, Maybe",2008,95352663,7575794,12.586491000151272,PASS,ok,tt0832266,ok,7000000,32241649,55863786,2008PASS,34893728,60458935,2,2
Doomsday,2008,35313978,35714458,0.9887866140933737,PASS,ok,tt0483607,ok,33000000,11008770,21621188,2008PASS,11914311,23399667,2,2
Doubt,2008,91335319,21645126,4.219671393920276,PASS,ok,tt0918927,ok,20000000,33446470,50946957,2008PASS,36197653,55137666,2,2
Eagle Eye,2008,302498552,86580505,3.493841390738019,FAIL,notalk,tt1059786,notalk-disagree,80000000,101440743,178066569,2008FAIL,109784884,192713668,2,2
Easy Virtue,2008,16573205,15151588,1.0938262708832895,PASS,ok,tt0808244,ok,14000000,2656784,12656784,2008PASS,2875321,13697884,2,2
Fireproof,2008,72434997,541128,133.85926619949439,FAIL,men,tt1129423,men,500000,33456317,33473297,2008FAIL,36208310,36226687,2,2
Fly Me to the Moon,2008,78020603,27056408,2.8836275310455104,FAIL,nowomen,tt0486321,nowomen,25000000,14543943,57546746,2008FAIL,15740274,62280329,2,2
Forgetting Sarah Marshall,2008,182192985,32467689,5.6115168837548,PASS,ok,tt0800039,ok,30000000,63172463,105173042,2008PASS,68368797,113824188,2,2
Four Christmases,2008,307027544,86580505,3.546150995538776,PASS,ok,tt0369436,ok,80000000,120146040,163546040,2008PASS,130028810,176998734,2,2
Frost/Nixon,2008,50613467,31385433,1.6126419858537557,FAIL,notalk,tt0870111,notalk,29000000,18622031,28144586,2008FAIL,20153811,30459656,2,2
Frozen River,2008,9244206,1082256,8.54160753093538,PASS,ok,tt0978759,ok,1000000,2511476,6030129,2008PASS,2718061,6526145,2,2
Gake no ue no Ponyo,2008,238532609,36796715,6.482443038733213,PASS,ok,tt0876563,ok,34000000,15090399,205312666,2008PASS,16331680,222200929,2,2
Ghost Town,2008,43144138,21645126,1.9932495657451936,FAIL,notalk,tt0995039,notalk,20000000,13252641,26612350,2008FAIL,14342754,28801384,2,2
Gran Torino,2008,457403061,27056408,16.905535317178835,FAIL,men,tt1205489,men-disagree,25000000,148095302,274543085,2008FAIL,160277075,297125986,2,2
Hamlet 2,2008,10589338,9740307,1.0871667597335484,PASS,ok,tt1104733,ok,9000000,4886216,4898285,2008PASS,5288138,5301200,2,2
Hancock,2008,922398989,162338447,5.6819503084195455,FAIL,nowomen,tt0448157,nowomen,150000000,227946274,624346274,2008FAIL,246696294,675702695,2,2
